"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
2008-09-21,515.351604948495,515.351604948495,515.351604948495,520.483081498502,521.506028247461,530.542982092293,542.470142841533,544.677826758701,547.688716012985,592.148122958294,592.148122958294,617.995441208741,617.995441208741,635.33842639844,635.33842639844,648.500308889336,648.500308889336,648.500308889336,649.163841359164,672.556318053809,672.556318053809,703.381588998775,703.381588998775,707.671002237776,709.206307763154,717.284141492731,717.284141492731,723.058789245587,724.288439597289,739.082783131879,932.937642359562,932.937642359562,942.532951252802,946.906360260128,956.621724949604,961.743407191457,961.743407191457,1470.0288765817,1470.0288765817,1490.20345176982,1495.4912432648,1497.02073929587,1499.68950848415,1530.10972076888,1541.27151735608,1849.85530335149,1893.73176820559,1899.39595665534,1901.98565108438,1907.20978487158,1915.01621694581,1917.09702397891,1919.68034151563,1921.44403759117,1921.44403759117,1924.73815982195,1924.73815982195,1953.159929228,1953.159929228,1954.44724957062,1964.50092849494,1970.37030084311,1980.34954724497,2004.34666094126,2200.22780251101,2211.03723374163,2211.03723374163
2008-09-22,491.66663682639,491.66663682639,491.66663682639,496.595129722329,497.547908752778,506.398145067518,517.786325528681,519.939633559609,522.906142881468,564.343701527347,564.343701527347,587.996431540144,587.996431540144,604.052342510065,604.052342510065,616.478769904764,616.478769904764,616.478769904764,617.094507416369,638.570009078186,638.570009078186,667.263831845065,667.263831845065,671.247151065729,672.647777849315,680.166610845245,680.166610845245,685.607223093565,686.758107631097,700.554117534445,877.049829642854,877.049829642854,885.969369691828,890.104026738061,899.173191034294,903.980973285338,903.980973285338,1396.13220039092,1396.13220039092,1415.64624205009,1420.76253971413,1422.2813060404,1424.9331451685,1453.8232164125,1464.67661514671,1759.25252299988,1800.41357510384,1805.88804323953,1808.4124484003,1813.43145055321,1820.78605612143,1822.82158058642,1825.35008440901,1827.09515405025,1827.09515405025,1830.28588818575,1830.28588818575,1858.11701000965,1858.11701000965,1859.38267835048,1868.90953373729,1874.45779602541,1883.93874237215,1905.41247047552,2094.27995738215,2104.62829548215,2104.62829548215
2008-09-23,468.06571975434,468.06571975434,468.06571975434,472.82467715229,473.713943422307,482.509298937938,493.449223310933,495.574360429857,498.53381135554,537.405056623611,537.405056623611,559.303552052075,559.303552052075,574.336809019252,574.336809019252,586.19717711166,586.19717711166,586.19717711166,586.775379975406,606.785087585109,606.785087585109,633.75931900661,633.75931900661,637.5224090518,638.807611932827,645.879525574331,645.879525574331,651.04439365985,652.129216008599,665.040121615921,826.499650134565,826.499650134565,834.785664827315,838.685690005962,847.126155675157,851.625728007695,851.625728007695,1322.84091189275,1322.84091189275,1341.69496113863,1346.63517634013,1348.13293056539,1350.75153061063,1378.1991608161,1388.72036049434,1671.63242484303,1710.35467892994,1715.64184685747,1718.09748811097,1722.92219004798,1729.85971090592,1731.84629340201,1734.31427127949,1736.03247991551,1736.03247991551,1739.1280423752,1739.1280423752,1766.35950963251,1766.35950963251,1767.59842221227,1776.66189405218,1781.97360706494,1791.02234531008,1810.55981218498,1992.82683312235,2002.78876331624,2002.78876331624
2008-09-24,444.603304827061,444.603304827061,444.603304827061,449.210422140279,450.041541641044,458.776450553553,469.335865056294,471.448919087149,474.421345774767,511.104648051774,511.104648051774,531.576651503744,531.576651503744,545.750051798242,545.750051798242,557.189662932592,557.189662932592,557.189662932592,557.738616593009,576.629041443481,576.629041443481,602.23069604214,602.23069604214,605.810753741395,606.998730241904,613.740932946188,613.740932946188,618.677611609095,619.708029707676,631.824854977093,780.367170509883,780.367170509883,788.108197027364,791.794706816129,799.683777062919,803.913040865523,803.913040865523,1251.09495958732,1251.09495958732,1269.28093893634,1274.0421094987,1275.51073593269,1278.08353320228,1304.17581666093,1314.34998790762,1587.06882154083,1623.60509774273,1628.7150892305,1631.10302815077,1635.74700758145,1642.30259379161,1644.24187563479,1646.64868469451,1648.33763949992,1648.33763949992,1651.34534557958,1651.34534557958,1678.0034493184,1678.0034493184,1679.21444464611,1687.85703218206,1692.98337535299,1701.65960657226,1719.64126078113,1895.62574394591,1905.26513148272,1905.26513148272
2008-09-25,421.350968575599,421.350968575599,421.350968575599,425.821795825327,426.600139017214,435.303041552434,445.521764196172,447.623426479225,450.607351848353,485.399913307939,485.399913307939,504.705671844985,504.705671844985,518.175519861074,518.175519861074,529.292232236935,529.292232236935,529.292232236935,529.818142821441,547.778214065384,547.778214065384,572.288310240457,572.288310240457,575.737379354479,576.840406796478,583.32999068878,583.32999068878,588.089442905118,589.071237802009,600.489535515283,737.920552875229,737.920552875229,745.194745346492,748.691008032026,756.10662840378,760.106241324389,760.106241324389,1181.71843899921,1181.71843899921,1199.23481665563,1203.81164772539,1205.24146217234,1207.75665998666,1232.57123192545,1242.38204887325,1505.7180757199,1540.29030054494,1545.22917360093,1547.54899701461,1552.01989880778,1558.2291449995,1560.12007822212,1562.46455797418,1564.12095965798,1564.12095965798,1567.04708890025,1567.04708890025,1593.16184545138,1593.16184545138,1594.34347942463,1602.6021831571,1607.57779356084,1615.91190506467,1632.59723465505,1802.56210467188,1811.93560625524,1811.93560625524
2008-09-26,398.474214947994,398.474214947994,398.474214947994,402.806423804633,403.537062433178,412.190915670192,422.098488580522,424.18634642932,427.174602678313,460.315094424839,460.315094424839,478.631592922262,478.631592922262,491.502289444169,491.502289444169,502.309891215367,502.309891215367,502.309891215367,502.817006907867,520.027764609045,520.027764609045,543.636634559584,543.636634559584,546.986445753699,548.016385114449,554.334041684972,554.334041684972,558.949383889024,559.890883516088,570.691633065398,698.543370379293,698.543370379293,705.420190632157,708.748269845896,715.76171773535,719.567800155938,719.567800155938,1115.33843182459,1115.33843182459,1132.16399247518,1136.54811010927,1137.92728298013,1140.37171855764,1163.9730721233,1173.40900326611,1427.77154640894,1460.57285647109,1465.34254128821,1467.59274792238,1471.8967737682,1477.79348446675,1479.63466228074,1481.91425986331,1483.53371927733,1483.53371927733,1486.38373886111,1486.38373886111,1511.99338300278,1511.99338300278,1513.14328282077,1521.04709428232,1525.89490656442,1533.91109385415,1550.00439194988,1715.44259156604,1724.6619204835,1724.6619204835
2008-09-27,376.158475260627,376.158475260627,376.158475260627,380.351454811995,381.03643416281,389.600277996746,399.215763342753,401.282906387479,404.26106346534,435.921679922229,435.921679922229,453.363524780491,453.363524780491,465.699412683855,465.699412683855,476.240364379561,476.240364379561,476.240364379561,476.729552732497,493.296038785929,493.296038785929,516.122609958291,516.122609958291,519.38877805924,520.35383248456,526.49441122445,526.49441122445,530.990248090808,531.895526001265,542.137812358782,661.691209973547,661.691209973547,668.236564825923,671.405466380355,678.084074435607,681.730903003114,681.730903003114,1052.29312460418,1052.29312460418,1068.46010677774,1072.66547275072,1073.99508204711,1076.36971457467,1098.85272033242,1107.89277167387,1353.49288328366,1384.68518260177,1389.28294403249,1391.46018076633,1395.60180904198,1401.20854360656,1402.99457453707,1405.20496324721,1406.78156241663,1406.78156241663,1409.56025681829,1409.56025681829,1434.69862698265,1434.69862698265,1435.81347984492,1443.37896230801,1448.11538904572,1455.82497357225,1470.80040455082,1630.69460521137,1639.65640867109,1639.65640867109
2008-09-28,354.607135665108,354.607135665108,354.607135665108,358.651013667707,359.293097657969,367.714975246364,377.049401842399,379.085459375103,382.033907788534,412.345080844576,412.345080844576,428.993141360012,428.993141360012,440.829926644145,440.829926644145,451.106445317893,451.106445317893,451.106445317893,451.578869509684,467.573498813496,467.573498813496,489.645033289357,489.645033289357,492.838428934802,493.745543697874,499.745087472126,499.745087472126,504.127954620599,504.998891516362,514.728218771622,627.040555300873,627.040555300873,633.294908146711,636.323593902562,642.710300011578,646.229964439756,646.229964439756,992.752020572951,992.752020572951,1008.25235459354,1012.27632941776,1013.55053246248,1015.84903075901,1037.26424050629,1045.94212835615,1282.94735862907,1312.67661488301,1317.10406774454,1319.20734393521,1323.19212459769,1328.53572177914,1330.26338431428,1332.40248316959,1333.93254564211,1333.93254564211,1336.6442698511,1336.6442698511,1361.34223095911,1361.34223095911,1362.42011897142,1369.66207365874,1374.29834753399,1381.71271468062,1395.74435489817,1550.33727872023,1559.10121215151,1559.10121215151
2008-09-29,334.006583063534,334.006583063534,334.006583063534,337.890639058457,338.49193970906,346.712404411462,355.769856832339,357.766614407417,360.663248547582,389.728618385484,389.728618385484,405.638236710276,405.638236710276,416.997077865605,416.997077865605,426.991795857382,426.991795857382,426.991795857382,427.448142901022,442.916737042561,442.916737042561,464.256628964964,464.256628964964,467.371799359005,468.224240574944,474.082378690742,474.082378690742,478.352597692251,479.191597755316,488.446648836166,594.404847986177,594.404847986177,600.407887026197,603.305839467116,609.424510329554,612.809939561729,612.809939561729,936.766603392475,936.766603392475,951.622368597594,955.468638530928,956.685333350236,958.905338372767,979.316643371405,987.626943239623,1216.23607848802,1244.62622445313,1248.8832566383,1250.91083552376,1254.74344462345,1259.84634053715,1261.51197996179,1263.57712985536,1265.05664739501,1265.05664739501,1267.7053041341,1267.7053041341,1291.98866948926,1291.98866948926,1293.02742905625,1299.95909813525,1304.50445601852,1311.63398437039,1324.84601893381,1474.35697572428,1482.93851123722,1482.93851123722
2008-09-30,314.530848934126,314.530848934126,314.530848934126,318.24283417112,318.805153302369,326.762317977559,335.54514289698,337.482515613034,340.305203407276,368.208579392702,368.208579392702,383.42682782094,383.42682782094,394.315661287504,394.315661287504,404.002508256559,404.002508256559,404.002508256559,404.443783601092,419.417151128581,419.417151128581,440.026976541593,440.026976541593,443.056755324005,443.859962031367,449.563433139646,449.563433139646,453.714809401555,454.521539667012,463.33820323674,563.630201993039,563.630201993039,569.371918842213,572.145884504725,578.037521224302,581.307799873732,581.307799873732,884.336372037861,884.336372037861,898.57515564741,902.250873141354,903.408988923314,905.549427745111,925.017295682803,932.967275576713,1153.45672146759,1180.60331276341,1184.68758557186,1186.63744823546,1190.32298758684,1195.20474664569,1196.80416463994,1198.79237597445,1200.21715155115,1200.21715155115,1202.80625732531,1202.80625732531,1226.69689346655,1226.69689346655,1227.69417683818,1234.32740600198,1238.78949092178,1245.64136980246,1258.124096839,1402.74177151603,1411.15225914849,1411.15225914849
