"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
2015-09-21,332.018529082589,332.018529082589,332.018529082589,332.825767914707,333.50502728857,333.202619941674,336.220557755564,336.188454592703,335.983646886127,375.284304750144,375.284304750144,393.156481441313,393.156481441313,403.098401510181,403.098401510181,407.149214476531,407.149214476531,407.149214476531,407.414452155566,426.288872491061,426.288872491061,442.111855450013,442.111855450013,443.084909369565,443.256370803502,444.765577181915,444.765577181915,446.215259270029,446.784706783658,461.389072083105,538.857025135612,538.857025135612,539.371264004485,539.54012482215,540.315991946463,540.61100280227,540.61100280227,870.156981007216,870.156981007216,883.703748251647,887.044873233468,887.1039384025,888.247404724966,927.540032372529,956.615233115638,1145.49340171528,1231.67726795176,1236.83646616519,1238.68708821782,1242.74018539625,1262.04089602114,1262.60703333734,1267.90764358021,1268.39348252155,1268.39348252155,1271.61756923914,1271.61756923914,1480.90378474867,1480.90378474867,1481.93085296053,1488.82585275459,1555.27511696151,1561.85260943275,1573.47790852835,1721.63504702518,1826.49964838538,1826.49964838538
2015-09-22,335.263179037623,335.263179037623,335.263179037623,336.134668366743,336.707579458571,336.452745381585,339.529024413293,339.511601746408,339.318747868499,374.727508710831,374.727508710831,390.62111313454,390.62111313454,399.508582719401,399.508582719401,402.925686368506,402.925686368506,402.925686368506,403.285414771988,420.353771443735,420.353771443735,434.392554969197,434.392554969197,435.343581080845,435.574245638048,437.36849553086,437.36849553086,439.056053025854,439.628056216259,452.782019503146,533.815525342121,533.815525342121,534.896592982369,535.269228803535,536.850310163696,537.534199473606,537.534199473606,878.682299346235,878.682299346235,892.538038566785,895.89045552454,896.122302154208,897.456666423711,931.99429374428,957.540085722427,1138.94126183641,1213.35946355104,1218.32174398536,1220.20234212044,1223.91528705869,1240.58515756626,1241.26765993894,1245.89800711069,1246.47831871172,1246.47831871172,1249.55047140401,1249.55047140401,1422.74050767034,1422.74050767034,1423.67650555737,1430.05112843966,1488.76414261024,1494.95075510539,1505.85793809866,1656.57523297038,1745.16935923422,1745.16935923422
2015-09-23,334.621602717548,334.621602717548,334.621602717548,335.61318980105,336.118932587912,336.56773062932,339.762508513514,339.892568268542,339.972261744213,372.038270601634,372.038270601634,387.011586131732,387.011586131732,395.117578846105,395.117578846105,398.315572916247,398.315572916247,398.315572916247,398.627298907494,413.863199842708,413.863199842708,426.513868907901,426.513868907901,427.473109037018,427.652905660329,429.490606729682,429.490606729682,431.150152123349,431.696805949376,443.447623507441,526.436678592879,526.436678592879,527.828269414998,528.24205826461,530.196642985424,531.146105017332,531.146105017332,874.439365947803,874.439365947803,888.070180429031,891.478626885144,891.894268766547,893.406883266137,924.297254503559,947.206728487532,1121.33323401436,1186.69756948874,1191.596555104,1193.55120237569,1197.04645122655,1211.61229750849,1212.44784828636,1216.62985665779,1217.35347578381,1217.35347578381,1220.28513343314,1220.28513343314,1366.11801409942,1366.11801409942,1367.03237866814,1373.11752327825,1425.26707134047,1431.27553696053,1441.67525719756,1593.30664022082,1668.96990362771,1668.96990362771
2015-09-24,331.349195353259,331.349195353259,331.349195353259,332.54117755584,332.994446952564,334.27047230706,337.609526822569,337.93323162641,338.313590887562,367.509982976911,367.509982976911,381.714118185308,381.714118185308,389.433326688244,389.433326688244,392.832145704558,392.832145704558,392.832145704558,393.108961492646,406.932179540405,406.932179540405,418.714480660772,418.714480660772,419.672744573177,419.848791143673,421.682091779275,421.682091779275,423.3087915398,423.825310890082,434.384384327443,518.24009415457,518.24009415457,519.764058451374,520.212233802781,522.328528608101,523.375108364728,523.375108364728,861.71722268311,861.71722268311,875.086916613108,878.45436131151,878.984319720919,880.59611491857,908.4326026706,929.133846074876,1096.27282221725,1154.18593637434,1158.9906820599,1160.98205544926,1164.29386876855,1177.13627586341,1178.07802521467,1181.90474600376,1182.73892344786,1182.73892344786,1185.53963897586,1185.53963897586,1310.29195827714,1310.29195827714,1311.19715706096,1317.05246062178,1363.65944904579,1369.5417732831,1379.50940388231,1530.21015236665,1595.521239066,1595.521239066
2015-09-25,325.043652855788,325.043652855788,325.043652855788,326.493878484166,326.913220126601,329.170700057668,332.690894342409,333.228065892269,333.960794980912,360.891358226989,360.891358226989,374.401914713,374.401914713,381.98575965571,381.98575965571,385.805987391178,385.805987391178,385.805987391178,386.075515257515,398.936455908073,398.936455908073,410.427885009209,410.427885009209,411.445793981111,411.630155030356,413.549410530992,413.549410530992,415.190667465452,415.685290925796,425.259873990186,509.310573802736,509.310573802736,510.93670202845,511.410460886127,513.627948240118,514.732108512095,514.732108512095,843.392401254191,843.392401254191,856.382690598383,859.671905926854,860.275466278278,861.938447628121,887.221717042934,906.038410111124,1066.59339662127,1118.2240465978,1122.8833003187,1124.88415985135,1128.04055060454,1139.45421647557,1140.45527487012,1143.97183675701,1144.87063679251,1144.87063679251,1147.5504945496,1147.5504945496,1255.77765343899,1255.77765343899,1256.66830712319,1262.30354566109,1304.22407403077,1309.96311386816,1319.51250920875,1467.77998011047,1524.71360638745,1524.71360638745
2015-09-26,315.960713209436,315.960713209436,315.960713209436,317.664000400799,318.058771933333,321.307381252464,325.016957169555,325.765117993501,326.862444421176,352.016551959613,352.016551959613,364.985406211279,364.985406211279,372.570834903605,372.570834903605,376.938720252451,376.938720252451,376.938720252451,377.211467160798,389.412578278633,389.412578278633,401.037983840606,401.037983840606,402.190918353482,402.393219168911,404.531569334777,404.531569334777,406.259704076177,406.746115348912,415.514432735265,499.289620631347,499.289620631347,501.06337954294,501.574420980832,503.924679644948,505.103671324715,505.103671324715,821.369907674515,821.369907674515,833.944275323486,837.135367822921,837.784013203728,839.466410493552,862.590349904464,879.791419544396,1034.25384167422,1080.54872693253,1085.0506445607,1087.03000734133,1090.03920256828,1100.25447380173,1101.29700798757,1104.54967156498,1105.4912808151,1105.4912808151,1108.05985494004,1108.05985494004,1203.12799030626,1203.12799030626,1203.99724175577,1209.40639654264,1247.35043378622,1252.92226783086,1262.05912332709,1406.66916405092,1456.77020054792,1456.77020054792
2015-09-27,304.692840523748,304.692840523748,304.692840523748,306.603878200978,306.979525608279,311.098388395542,314.965637758803,315.902722552237,317.332155677456,341.060322713291,341.060322713291,353.588220629054,353.588220629054,361.239330341799,361.239330341799,366.188784132507,366.188784132507,366.188784132507,366.468624206814,378.203346167065,378.203346167065,390.241151775101,390.241151775101,391.574307528819,391.800276229073,394.252623867392,394.252623867392,396.123044724436,396.611797594787,404.724444000237,487.811747238293,487.811747238293,489.789877748017,490.354099136531,492.893742106346,494.17845624502,494.17845624502,796.747987533552,796.747987533552,808.908416883551,812.002344228494,812.681774786408,814.367187054246,835.652955062062,851.473079985775,1000.33807923589,1042.09218454985,1046.42535821476,1048.37106744029,1051.24773079702,1060.45317301389,1061.51492552188,1064.53512234493,1065.49784988241,1065.49784988241,1067.96634888258,1067.96634888258,1152.41186223737,1152.41186223737,1153.25562628204,1158.44780876149,1192.9999348708,1198.39754578629,1207.14265597757,1347.24205074701,1391.71133448926,1391.71133448926
2015-09-28,291.954281125643,291.954281125643,291.954281125643,294.010461333233,294.36841367951,299.162463557033,303.149767667963,304.235669663745,305.932749947848,328.453679684659,328.453679684659,340.571926494572,340.571926494572,348.284284515365,348.284284515365,353.767428752829,353.767428752829,353.767428752829,354.053968396016,365.432851009766,365.432851009766,377.987708935861,377.987708935861,379.516807403032,379.768362001732,382.577091162562,382.577091162562,384.61731466341,385.115213819643,392.690180870879,474.683273114708,474.683273114708,476.904068350519,477.531722975048,480.306594393633,481.72221984728,481.72221984728,770.195707147807,770.195707147807,781.976486110756,784.979873555583,785.682326695264,787.362521950144,807.091992619042,821.727348591613,965.441195169546,1003.3294359768,1007.51895047684,1009.47859637147,1012.26599977786,1020.64328243565,1021.71599828446,1024.53447337284,1025.506855798,1025.506855798,1027.88251271688,1027.88251271688,1103.77912449983,1103.77912449983,1104.60222431664,1109.58525840659,1141.23112896662,1146.437701343,1154.81421170646,1290.00709271611,1329.79995533187,1329.79995533187
2015-09-29,278.433535873184,278.433535873184,278.433535873184,280.570574395521,280.910729392031,286.162710855354,290.209371527644,291.399969067108,293.290325484864,314.724475979263,314.724475979263,326.437604296989,326.437604296989,334.158945784854,334.158945784854,340.072810477011,340.072810477011,340.072810477011,340.364619445467,351.432978544461,351.432978544461,364.466616752842,364.466616752842,366.178595185878,366.453972596205,369.607676501523,369.607676501523,371.816224249098,372.324267602321,379.444479436485,459.953179245759,459.953179245759,462.424183841564,463.117685458427,466.141806644783,467.698537740486,467.698537740486,742.254006309584,742.254006309584,753.682870942128,756.60309415847,757.323663501784,758.993203559925,777.393777849256,791.017276864463,929.975846584821,964.557289877798,968.587842500456,970.458331504136,973.127006097688,980.772594809062,981.858524868937,984.511392759009,985.495019512793,985.495019512793,987.78705202153,987.78705202153,1056.65462038192,1056.65462038192,1057.46203200443,1062.28256078093,1091.42280899903,1096.48246972379,1104.56244219252,1234.48201822122,1270.36691166815,1270.36691166815
2015-09-30,264.694240715465,264.694240715465,264.694240715465,266.85639730467,267.178311518944,272.687561530545,276.739742840921,277.992337930308,280.002225240442,300.420760332139,300.420760332139,311.704077073327,311.704077073327,319.359814673836,319.359814673836,325.568270489961,325.568270489961,325.568270489961,325.862590657026,336.632940305681,336.632940305681,350.010381170773,350.010381170773,351.87259632263,352.16748813528,355.614412449973,355.614412449973,357.96614527315,358.482305836935,365.209259065973,443.877941736697,443.877941736697,446.574166640614,447.327853820257,450.58227873271,452.271408507314,452.271408507314,713.363693760588,713.363693760588,724.458775513224,727.306841428705,728.041059826742,729.695873342889,746.955019722763,759.699808977886,894.266552518989,926.007555915249,929.904138302064,931.733585508878,934.305091042634,941.319054546637,942.405741544517,944.910661674255,945.897138293448,945.897138293448,948.113143271142,948.113143271142,1011.0608367573,1011.0608367573,1011.85246932933,1016.51517897628,1043.47955030928,1048.38466864313,1056.17931181851,1180.21538903774,1212.79635651447,1212.79635651447
