"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
"2017-09-21",167.016391696002,167.016391696002,167.016391696002,167.906636887595,168.002019918644,170.44126348046,172.395650553396,173.020386177561,173.993929468074,176.641605971945,186.739360741212,192.230342999559,192.230342999559,195.341243555311,195.341243555311,198.288879498394,198.288879498394,198.288879498394,203.215323857362,203.215323857362,203.215323857362,209.512137464845,209.512137464845,210.520412244928,210.675031479191,212.606176212673,212.606176212673,213.843055599706,216.531639572175,261.529525431003,261.529525431003,261.529525431003,262.848570508612,263.230871740829,264.714202929512,265.525777439225,265.525777439225,347.272045200584,347.272045200584,350.754654763118,351.759062912126,351.990597012853,352.502974284289,357.022692412334,358.577179511242,421.803394175228,423.773825154346,426.439074833168,426.880328774973,427.163550699661,427.603483615527,427.899239075625,428.215574588111,428.473148073537,428.473148073537,443.898529599225,443.898529599225,443.898529599225,443.898529599225,444.07504823666,444.846262624263,447.357518097311,448.690943972778,451.198904722939,542.87215592053,543.125476343628,548.141493906931
"2017-09-22",162.50805635321,162.50805635321,162.50805635321,163.354710093261,163.446694061107,165.783525753307,167.652856004375,168.248553028969,169.17701981415,171.680735303947,181.396579323798,186.680593245939,186.680593245939,189.706431887462,189.706431887462,192.578635240203,192.578635240203,192.578635240203,197.355725270988,197.355725270988,197.355725270988,203.455501681511,203.455501681511,204.436593572052,204.587158276726,206.460997965387,206.460997965387,207.659837172643,210.250428755396,255.270407491949,255.270407491949,255.270407491949,256.591249588027,256.972554373107,258.454908791075,259.266510114916,259.266510114916,340.49893757119,340.49893757119,343.748830463233,344.718365193247,344.939147077876,345.437243429741,349.869931576323,351.394236683672,414.518344928909,416.447629371713,419.08100552606,419.49854711604,419.768310125098,420.197104860683,420.476779796393,420.77794744849,421.021795749402,421.021795749402,436.425165484737,436.425165484737,436.425165484737,436.425165484737,436.593422692451,437.341589976566,439.836281322753,441.129305198832,443.567932507192,529.159116430215,529.420557243519,534.419981066015
"2017-09-23",158.232788618715,158.232788618715,158.232788618715,159.037965217303,159.126465561413,161.365721581665,163.160887013204,163.732677429139,164.623767914328,166.989519923296,176.29846329934,181.348644657746,181.348644657746,184.286147721848,184.286147721848,187.079995724132,187.079995724132,187.079995724132,191.714120013512,191.714120013512,191.714120013512,197.628119563522,197.628119563522,198.583077675138,198.729750900949,200.552517093352,200.552517093352,201.711808638982,204.220921002733,249.061964012966,249.061964012966,249.061964012966,250.382999259967,250.763298265424,252.245020382442,253.05695036594,253.05695036594,334.100377784964,334.100377784964,337.326783167124,338.252300502037,338.458131529425,338.93791725928,343.268119723618,344.72412819886,407.747704086809,409.619199648913,412.14174279,412.539317968533,412.797578514304,413.217989891598,413.483707384269,413.771466639133,414.003088000066,414.003088000066,429.359846164696,429.359846164696,429.359846164696,429.359846164696,429.520312146704,430.2448377334,432.723455055277,433.977310001095,436.338927075091,515.307302143209,515.571195493803,520.548290077541
"2017-09-24",154.215428009244,154.215428009244,154.215428009244,154.978363896397,155.063117427494,157.197322467658,158.923618899493,159.471889409843,160.325903426891,162.562320253337,171.489495579965,176.286380735532,176.286380735532,179.119787166444,179.119787166444,181.820725988067,181.820725988067,181.820725988067,186.313032926445,186.313032926445,186.313032926445,192.048102780624,192.048102780624,192.973792865974,193.116202411088,194.885051460348,194.885051460348,196.017476830743,198.441294759952,242.951090955436,242.951090955436,242.951090955436,244.264486462483,244.642033344443,246.116375339897,246.925456948122,246.925456948122,328.023095102517,328.023095102517,331.170932397405,332.068373372374,332.266968056123,332.735739801875,336.982634881508,338.401484548908,401.367356303241,403.188791648108,405.632385715908,406.009261805129,406.255691720948,406.668002404506,406.919506244027,407.193698708165,407.412983134678,407.412983134678,422.709055686326,422.709055686326,422.709055686326,422.709055686326,422.861459713243,423.555187101561,426.016536218655,427.230181626729,429.506312997994,502.032050673482,502.2879647141,507.236013703576
"2017-09-25",150.463456858813,150.463456858813,150.463456858813,151.184424952123,151.26530605882,153.28754406767,154.948118922566,155.468972212723,156.284592620703,158.400255908459,166.951469060228,171.506538348706,171.506538348706,174.22877559122,174.22877559122,176.824410237954,176.824410237954,176.824410237954,181.174509148862,181.174509148862,181.174509148862,186.708675838609,186.708675838609,187.595785196605,187.734095478929,189.450051260948,189.450051260948,190.550629853177,192.893643118836,236.966424917838,236.966424917838,236.966424917838,238.266079411153,238.639429651831,240.352428021663,241.394552791098,241.394552791098,324.713729332879,324.713729332879,327.967306494429,329.492491088935,329.607477761928,329.975963920183,333.977519921071,335.141434389469,397.862578357308,399.524676425114,401.898688364396,402.135630254842,402.331630053109,402.677153097619,402.85328752488,403.068124106421,403.213912704269,403.213912704269,418.462705603038,418.462705603038,418.462705603038,418.462705603038,418.564607399068,419.144117651918,421.596489950543,422.64819382132,424.766747591217,491.436998529744,491.645033856917,496.556839664187
"2017-09-26",146.962253308079,146.962253308079,146.962253308079,147.643879577495,147.721011047045,149.631985337325,151.230391354592,151.730178682191,152.505309797713,154.506808197095,162.704428706064,167.02547888188,167.02547888188,169.63122370889,169.63122370889,172.110187556718,172.110187556718,172.110187556718,176.320770034364,176.320770034364,176.320770034364,181.634546825968,181.634546825968,182.495606785123,182.62873895871,184.279788052689,184.279788052689,185.342287799722,187.604517841725,231.155190623341,231.155190623341,231.155190623341,232.432004990524,232.798935811697,234.284404317635,235.127331345439,235.127331345439,317.621852515161,317.621852515161,320.985087391808,321.979719214138,322.222907243425,322.716645735957,326.951258057396,328.415090285873,391.477979271908,393.305397936307,395.718937233567,396.073547391088,396.305463145798,396.714374683306,396.943818389676,397.195007051244,397.391469332963,397.391469332963,412.670458920125,412.670458920125,412.670458920125,412.670458920125,412.804603120562,413.462286702472,415.908972359569,417.021138357144,419.112619308232,480.313830747733,480.532643043874,485.421751045145
"2017-09-27",143.672593477865,143.672593477865,143.672593477865,144.320598168554,144.394392284994,146.204712873902,147.746364219163,148.224147861528,148.962307309389,150.859628659689,158.732754473447,162.836826689151,162.836826689151,165.325572914765,165.325572914765,167.683285554796,167.683285554796,167.683285554796,171.758263272776,171.758263272776,171.758263272776,176.839947245848,176.839947245848,177.664540624136,177.792529544913,179.376022338768,179.376022338768,180.398495941489,182.584244813495,225.556765518907,225.556765518907,225.556765518907,226.802159299139,227.160510784758,228.576640221649,229.366660786121,229.366660786121,312.34847149721,312.34847149721,315.421034052201,316.306510200508,316.502044993591,316.950320970429,321.010989604891,322.391066175152,385.511200076703,387.275309560829,389.503371099411,389.867383597045,390.104894983083,390.525116293643,390.765948945531,391.027706184559,391.236029820672,391.236029820672,406.495541941182,406.495541941182,406.495541941182,406.495541941182,406.63920695023,407.318391928717,409.755613747354,410.888356120065,412.966620618094,469.008515219033,469.232920908749,474.098526831815
"2017-09-28",140.618382244098,140.618382244098,140.618382244098,141.230656159446,141.300922259864,143.006769077354,144.493634088952,144.949228582809,145.650374129005,147.44784358872,155.024221220346,158.923714486307,158.923714486307,161.286510252273,161.286510252273,163.528098359618,163.528098359618,163.528098359618,167.459287546293,167.459287546293,167.459287546293,172.317619289959,172.317619289959,173.104322496109,173.22700556787,174.740311012202,174.740311012202,175.721365906526,177.833399139536,220.183344239474,220.183344239474,220.183344239474,221.393147331127,221.738148579667,223.109795798095,223.873855861643,223.873855861643,307.747853754102,307.747853754102,310.667756957136,311.487428447954,311.657487035865,312.076942178578,315.99368970321,317.286942914668,380.471109364085,382.164587837247,384.370470051333,384.680903066656,384.889570444749,385.285448895425,385.493384177446,385.726002196931,385.908347885828,385.908347885828,401.085716218532,401.085716218532,401.085716218532,401.085716218532,401.213752866085,401.843520315888,404.267319398147,405.345025388585,407.34245894641,458.869036401552,459.073133633142,463.903071410282
"2017-09-29",137.768363442426,137.768363442426,137.768363442426,138.348636745406,138.415653677968,140.022758712688,141.458287155555,141.892632554281,142.557939330772,144.264706999684,151.564820405771,155.273109409192,155.273109409192,157.535447933418,157.535447933418,159.653442600092,159.653442600092,159.653442600092,163.462444324499,163.462444324499,163.462444324499,168.078937400409,168.078937400409,168.824885129681,168.941913494986,170.380344398034,170.380344398034,171.317668177562,173.359708146505,215.05230364952,215.05230364952,215.05230364952,216.222335982938,216.560148151541,217.885794165224,218.625963869747,218.625963869747,303.449757447933,303.449757447933,306.281229918663,307.058904971996,307.217042532165,307.621202611699,311.438380925448,312.660670178861,375.991472034939,377.620664993028,379.718745632228,380.002629774549,380.195887069041,380.579629225921,380.767778006633,380.98146656896,381.146052339635,381.146052339635,396.252727094107,396.252727094107,396.252727094107,396.252727094107,396.368436435,396.949009637108,399.358281043002,400.382425547823,402.29368311719,450.08144897172,450.260607873296,455.053172267313
"2017-09-30",136.245657022998,136.245657022998,136.245657022998,136.796519270633,136.855026081041,138.150586177447,139.57605999474,139.954549929926,140.494645709553,142.176813314201,149.574835083709,152.986981252085,152.986981252085,155.188660829494,155.188660829494,157.045022916478,157.045022916478,157.045022916478,161.040670317536,161.040670317536,161.040670317536,165.099922828732,165.099922828732,165.671836433707,165.822407200966,167.205206060289,167.205206060289,168.165979875764,170.305806052434,211.962168174745,211.962168174745,211.962168174745,212.999686858467,213.499649343519,215.195726428019,216.090527394768,216.090527394768,308.64930579494,308.64930579494,311.883103758599,312.700350885953,312.716646083278,312.919712273151,317.306223405492,317.985938635878,383.031006939111,384.409993877076,386.758477995945,386.564776993662,386.617774919947,386.814931841143,386.651728971089,386.547157952259,386.424101188438,386.424101188438,401.037818400184,401.037818400184,401.037818400184,401.037818400184,400.957106741953,400.979922910309,403.385900238789,403.816229567494,405.39931567522,450.01618525918,450.043117313892,454.776561066176
